src_word,desc,src_alt
Discountpreis ,1. дисконтна цена <br/><br/> 2. намалена цена, 
Diseur ,1. говорник <br/><br/> 2. најавувач на разни приредби,
Disharmonie ,1. дисхармонија <br/><br/> 2. нееднаквост, 
Diskette ,дискета, 
Diskont ,1. дисконт <br/><br/> 2. намалување, 
Diskontsatz ,дисконтна стапка, 
Diskothek ,дискотека, 
Diskrepanz ,1. дискрепанција <br/><br/> 2. противречност,
Diskretion ,1. дискреција <br/><br/> 2. воздржаност,
Diskriminierung ,дискриминирање,
Diskurs ,дискурс,
Diskus ,1. диск <br/><br/> 2. плочка во атлетика, 
Diskussion ,дискусија,
Diskuswerfer ,1. дискоболос <br/><br/> 2. фрлач на диск (атлетика), 
Dispens ,ослободување (од црковен пропис), 
Disposition ,диспозиција,
Dispositionskredit ,кредит (договор за пречекорување на конто), 
Disput ,контроверзен разговор,
Disqualifikation ,дисквалификација, 
Dissertation ,дисертација,
Dissident ,дисидент,
Dissonanz ,дисонанција,
Distanz ,1. растојание <br/><br/> 2. далечина,
Distel ,магарешки трн, 
Distelfink ,1. штиглица <br/><br/> 2. трнарче, 
Distribution ,1. дистрибуција <br/><br/> 2. поделба <br/><br/> 3. достава <br/><br/> 4. дотур,
Distrikt ,1. округ <br/><br/> 2. област <br/><br/> 3. подрачје <br/><br/> 4. реон,
Disziplin ,дисциплина,
Diva ,дива <br/> &emsp; <i>Filmdiva ≈ филмска дива</i>,
Divergenz ,разлика,
Dividend ,деленик, 
Dividende ,дивиденда,
Dividendenausschüttung ,исплата на дивиденда, 
Division ,делење <br/><br/> дивизија, 
Diwan ,1. софа <br/><br/> 2. (кабинет на султанот),
Dixieland ,1. диксиленд <br/><br/> 2. јужни држави на САД,
Dixielandjazz ,џез од Њу Орлеанс, 
Diät ,диета,
Diözese ,1. диоцеза <br/><br/> 2. епархија (црковна област), 
Dobermann ,доберман (раса на кучиња), 
Docht ,фитил,
Dock ,док (на пристаниште),
Docker ,докер (работник во пристаниште),
Dockhafen ,(пристаниште со док),
Docking ,1. (спојување на вселенски летала) <br/><br/> 2. (пристигање на брод во док),
Doge ,дужд (властоводител во Венеција), 
Dogenpalast ,дуждова палата,
Dogge ,дога (вид пес), 
Dogma ,1. догма <br/><br/> 2. религиозна вистина,
Dogmatismus ,догматизам,
Dohle ,вид на чавка, 
Doktor ,1. лекар <br/><br/> 2. доктор,
Doktorand ,докторант (пишува докторска дисертација),
Doktrin ,доктрина,
Dokument ,документ,
Dokumentation ,докумантација,
Dolch ,1. кама <br/><br/> 2. анџар,
Dolchstich ,(убод со кама),
Dolchstoß ,(удар со кама),
Dolde ,соцветие, 
Doldengewächs ,(растение со соцветие), 
Dollar ,долар, 
Dolle ,1. палец <br/><br/> 2. вртлив дел на брод (за спуштање чамци во море),
Dolmetscher ,1. преведувач <br/><br/> 2. толкувач,
Dolmetscherin ,1. преведувачка <br/><br/> 2. толкувачка,
Dom ,катедрала, 
Dominanz ,1. доминација <br/><br/> 2. преовладување,
Dominikaner ,доминиканец <br/><br/> доминиканец монах, 
Dominion ,доминион,
Domino ,костум за маскенбал <br/><br/> домино (вид игра),
Domizil ,живеалиште (место на живеење),
Dompfaff ,трнарче (вид шарена птица), 
Dompteur ,дресирач,
Domäne ,1. домена <br/><br/> 2. припадност <br/><br/> 3. државна сопственост,
Don ,1. господин <br/> &emsp; <i>Don Juan ≈ Дон Жуан</i> <br/><br/> 2. газда,
Donau ,Дунав, 
Donner ,1. гром <br/><br/> 2. грмотевица,
Donnerstag ,четврток,
Donnerstrahl ,молња,
Donnerwetter ,1. караница <br/><br/> 2. сто громови!,
Donnerwetter ,бура, 
Doofheit ,1. глупост <br/><br/> 2. ограниченост, 
Dope ,дрога, 
Doping ,1. допинг <br/><br/> 2. дрогирање во спортот, 
Dopingkontrolle ,контрола против земање допинг, 
Doppel ,1. дупликат <br/><br/> 2. двојник <br/><br/> 3. дубел,
Doppel ,двојка, 
Doppeldecker ,1. двокрилен авион <br/><br/> 2. двоспратен автобус,
Doppelfenster ,дупли прозор,
Doppelgänger ,двојник,
Doppelpunkt ,две точки, 
Doppelsinn ,двосмисленост,
Doppelzimmer ,(двокреветна соба), 
Doppelzüngigkeit ,1. двојазичност <br/><br/> 2. дволичност,
Dorade ,ципура, 
Dorf ,село, 
Dorfbewohner ,1. селанец <br/><br/> 2. (селски жител),
Dorfgemeinde ,1. селска општина <br/><br/> 2. селска заедница,
Dorfkneipe ,1. селска крчма <br/><br/> 2. гостилница,
Dorfplatz ,сретсело,
Dorfschenke ,1. селска крчма <br/><br/> 2. гостилница,
Dorn ,трн, 
Dornbusch ,(трнлива грмушка), 
Dornenhecke ,(трнеста жива ограда), 
Dornenkrone ,(Исусов венец), 
Dornrose ,дива ружа,
Dornröschen ,трнлива ружица, 
Dorsch ,бакалар, 
Dose ,1. лименка <br/><br/> 2. приклучница <br/><br/> 3. доза,
Dosenöffner ,(отворач за лименки),
Dosierung ,дозирање,
Dosis ,доза,
Dotter ,жолчка од јајце,
Double ,дублер,
Dozent ,доцент,
Dozentur ,доцентура,
Drache ,1. ламја <br/><br/> 2. аждаја <br/><br/> 3. змеј,
Drachen ,1. ламја <br/><br/> 2. аждаја <br/><br/> 3. змеј,
Drachenfliegen ,(летање на змејови),
Dragee ,дражеј,
Draht ,1. жица <br/> &emsp; <i>per Draht ≈ телеграфски</i> <br/><br/> 2. телеграма,
Drahtseil ,1. (жичано јаже) <br/><br/> 2. сајла,
Drainage ,дренажа, 
Drama ,драма, 
Dramatiker ,драматичар, 
Dramatisierung ,драматизирање, 
Dramaturg ,драматург, 
Dramaturgie ,драматургија, 
Drang ,1. нужда <br/><br/> 2. тежнение <br/><br/> 3. стремеж <br/><br/> 4. продор <br/> &emsp; <i>Drang nach Osten ≈ продор на исток</i>,
Drangsal ,1. мака <br/><br/> 2. беда <br/><br/> 3. јад,
Draufgänger ,1. решителен човек <br/><br/> 2. авантурист,
Dreck ,1. ѓубре <br/><br/> 2. кал <br/><br/> 3. нечистотија,
Dreckarbeit ,(валкана работа),
Drecknest ,(запуштено место),
Drehbank ,1. струг <br/><br/> 2. дребунг, 
Drehbuch ,сценарио, 
Dreher ,1. металостругар <br/><br/> 2. дреар,
Drehmoment ,(ротационен момент), 
Drehscheibe ,врталиште <br/> &emsp; <i>Drehscheibe von Kriminellen ≈ врталиште на криминалци</i>,
Drehstrom ,трофазна струја, 
Drehung ,1. свртување <br/><br/> 2. ротација <br/><br/> 3. вртење <br/><br/> 4. завртување,
Drehwurm ,болест кај овците и говедата која води кон губење на равнотежа <br/><br/> вртоглавица <br/> &emsp; <i>ich bekomme den Drehwurm ≈ ме фаќа вртоглавица</i>, 
Drehzahl ,1. број на вртежи <br/><br/> 2. туража, 
Dreieck ,триаголник, 
Dreieinigkeit ,троединство, 
Dreifuß ,троног,
Dreistigkeit ,1. смелост <br/><br/> 2. дрскост,
Dreizack ,трозабец,
Dresche ,1. стап за чукање жито <br/><br/> 2. чукалка,
Dress ,дрес, 
Dresseur ,дресура,
Dressur ,дресура,
Dressurreiten ,дресурно јавање,
Drift ,1. лутање <br/><br/> 2. поместување <br/><br/> 3. занесување,
Drill ,1. (интензивна обука) <br/> &emsp; <i>militärischer Drill ≈ интензивна војна обука</i> <br/><br/> 2. вежба,
Drillbohrer ,дупчалка,
Drillich ,кепер (трожично платно),
Drilling ,троцевка (ловечка пушка),
Drillinge ,тројка (три деца), 
Drillmaschine ,редосејалка, 
Dringlichkeit ,1. итност <br/><br/> 2. ургентност,
Drink ,пијалак (најчесто алкохолен), 
Dritte Welt ,третиот свет, 
Drittel ,третина,
Drive ,нагон, 
Drive-in-Restaurant ,автомобилски ресторан, 
Droge ,1. лекарство <br/><br/> 2. дрога, 
Drogenabhängigkeit ,1. зависност од дрога <br/><br/> 2. наркоманија, 
Drogenhandel ,трговија со дрога, 
Drogenhändler ,трговец со дрога, 
Drogenkosum ,потрошувачка на дрога, 
Drogensucht ,1. зависност од дрога <br/><br/> 2. наркоманија, 
Drogerie ,дрогерија,
Drohbrief ,заканувачко писмо,
Drohne ,1. трут <br/><br/> 2. безделник <br/><br/> 3. (беспилотно летало),
Drohung ,заканување,
Drolligkeit ,1. шега <br/><br/> 2. смеа,
Dromedar ,"камила, едногрба", 
Drops ,1. дропс <br/><br/> 2. овошни бонбони, 
Droschke ,1. пајтон <br/><br/> 2. (лесна кочија),
Drossel ,дрозд, 
Drosselung ,1. пригушување <br/><br/> 2. (намалување на доток),
Druck ,1. притисок <br/> &emsp; <i>Blutdruck ≈ крвен притисок</i> <br/><br/> 2. печат <br/><br/> 3. печатење <br/><br/> 4. издание,
Druckbuchstabe ,(печатена буква),
Drucker ,печатар,
Drucker ,принтер <br/> &emsp; <i>Laserdrucker ≈ ласерски принтер</i>, 
Druckerei ,печатница,
Druckerschwärze ,(печатарска боја),
Druckfehler ,(печатарска грешка),
Druckluft ,(компримиран воздух), 
Drucksache ,(печатена ствар),
Druckschrift ,(печатно писмо),
Drude ,ноќна мора,
Drugstore ,1. дрогерија <br/><br/> 2. драгстор, 
Drum ,1. тапан <br/><br/> 2. барабан, [ mus en ]
Drummer ,1. барабанџија <br/><br/> 2. тапанџија, [ mus en ]
Drums ,1. тапан <br/><br/> 2. барабан, [ mus en ]
Drückeberger ,1. неработник <br/><br/> 2. симулант (што избегнува работа),
Drücker ,притискач,
Drüse ,жлезда <br/> &emsp; <i>Bauchspeicheldrüse ≈ панкреас</i>, 
Drüsenfunktion ,функција на жлезда, 
Drüsenschwellung ,отечување на жлезда, 
Dschihad ,џихад, 
Dschungel ,џунгла, 
Dschungelkrieg ,војна во џунгла, 
Dschunke ,едрилица,
Dublee ,двојник,
Dublette ,1. двојник <br/><br/> 2. дупликат,
Duckmäuser ,кукавица,
Duckmäuserei ,кукавичлак,
Dudelei ,гајдаџиство,
Dudelsack ,гајда, 
Dudelsackpfeifer ,свирач на гајда, 
Dudler ,гајдаџија, Dudeler 
Duell ,1. дуел <br/><br/> 2. двобој,
Duellant ,противник во дуел,
Duett ,дует, 
Dufflecoat ,спортски мантил,
Duft ,1. мирис <br/><br/> 2. арома,
Dukaten ,1. дукати <br/><br/> 2. златници,
Dukatenesel ,магаре што сере злато,
Dulder ,страдалник,
Duldermiene ,страдалнички израз,
Duldsamkeit ,1. трпеливост <br/><br/> 2. трпење,
Duldung ,1. трпење <br/><br/> 2. толерирање, 
Dummbartel ,глупак,
Dummerjan ,глупчо,
Dummheit ,глупост,
Dummkopf ,глупак,
Dummy ,1. имитација <br/><br/> 2. кукла, 
Dumpfbacke ,глупак, 
Dumpfheit ,1. подмолност <br/><br/> 2. придушеност <br/><br/> 3. задушеност,
Dumping ,1. дампинг <br/><br/> 2. под цена,
Dumpingpreis ,дампинг-цена, 
Dung ,1. измет од стока <br/><br/> 2. лајна <br/><br/> 3. природно ѓубриво, 
Dunggrube ,дупка за собирање измет,
Dunkel ,1. мрак <br/><br/> 2. темнина,
Dunkelarrest ,1. темница <br/><br/> 2. зандана,
Dunkelheit ,темнина,
Dunkelziffer ,темна бројка,
Dunst ,1. пареа <br/><br/> 2. дим <br/><br/> 3. чад,
Dunstabzugshaube ,аспиратор,
Dunstglocke ,1. реа <br/><br/> 2. облак од чад,
Dunstkreis ,зачадена атмосфера,
Duo ,дует,
Duplizität ,1. дуплицитет <br/><br/> 2. удвојување,
Dur ,дур, 
Durabilität ,1. цврстина <br/><br/> 2. трајност,
Durchblick ,поглед,
Durchblutung ,1. циркулација на крвта <br/><br/> 2. крвоток <br/><br/> 3. циркулирање на крвта, 
Durchblutungstörung ,пречки во ккрвната циркулација, 
Durchbohrung ,дупчење,
Durchbruch ,1. пробивање <br/><br/> 2. пробој,
Durcheinander ,1. безредие <br/><br/> 2. метеж <br/><br/> 3. перипетија,
Durchfahrt ,1. пропатување <br/><br/> 2. поминување,
Durchfahrtstraße ,пат кој минува низ едно место,
Durchfall ,1. неуспех <br/><br/> 2. фијаско,
Durchfall ,пролив, 
Durchführung ,1. спроведување <br/><br/> 2. изведба,
Durchgang ,1. премин <br/><br/> 2. преминување <br/><br/> 3. транзит,
Durchhalteparole ,(повик да се издржи до крај),
Durchhaltevermögen ,издржливост,
Durchlass ,1. пропуст <br/><br/> 2. тесен премин,
Durchlaucht ,Величество,
Durchlauferhitzer ,проточен бојлер,
Durchmarsch ,1. марш кон <br/> &emsp; <i>die Truppen sind auf dem Durchmarsch zur Grenze ≈ трупите се на марш кон границата</i> <br/><br/> 2. марш низ, 
Durchmesser ,1. пречник <br/><br/> 2. дијаметар, 
Durchreiche ,отвор за дотур на храна,
Durchreise ,1. пропатување <br/><br/> 2. патување,
Durchreisender ,транзитен патник,
Durchsage ,соопштение,
Durchschlag ,1. пробив <br/><br/> 2. копија,
Durchschlagpapier ,индиго хартија,
Durchschlagskraft ,"сила на пробивање (куршум, граната, проектил)",
Durchschnitt ,1. просек <br/><br/> 2. прорез,
Durchschnittseinkommen ,(просечна плата), 
Durchschnittsmensch ,(просечен човек),
Durchsetzungsvermögen ,(способност на пробивање),
Durchsicht ,1. контрола <br/><br/> 2. преглед <br/><br/> 3. прегледување,
Durchsuchung ,претрес,
Durchsuchungsbefehl ,наредба за претрес, 
Durchzug ,1. премин <br/><br/> 2. провев,
Durst ,жед,
Durststrecke ,(тежок период),
Dusche ,1. туш <br/><br/> 2. прскалка,
Duschgel ,гел за туширање,
Dusel ,1. (незаслужена среќа) <br/><br/> 2. сонливост <br/><br/> 3. пијанство <br/><br/> 4. зашеметеност,
Dussel ,1. глупчо <br/><br/> 2. глупавко,
Dussligkeit ,глупост,
Dutt ,пунџа,
Dutzend ,1. туце <br/><br/> 2. дванаесет <br/><br/> 3. дванаесетинка,
Duzfreund ,1. еднакви по ранг <br/><br/> 2. пријатели (тие се на ти),
Dynamik ,динамика,
Dynamit ,динамит,
Dynamo ,динамо, 
Dynamomaschine ,динамо машина,
Dynastie ,династија,
Dämlack ,глупчо,
Dämmerlicht ,светло при смрачување,
Dämmerschoppen ,пијанка на стемнување,
Dämmerstunde ,време на смрачување,
Dämmerung ,1. самрак <br/> &emsp; <i>Götterdämmerung ≈ самрак на боговите</i> <br/><br/> 2. затемнување <br/><br/> 3. зазорување,
Dämmerzustand ,полусон,
Dämmung ,изолација, 
Dämon ,1. ѓавол <br/><br/> 2. демон,
Dämonie ,ѓаволштина,
Dämpfer ,сурдина, 
Dämpfung ,пригушување,
Dänemark ,Данска, 
Däumling ,палче,
Döner ,гиро, 
Dönerkebab ,"гиро, вид кебап, месо на шпиц", 
Dörrfleisch ,сушено месо, 
Dübel ,1. дибла <br/><br/> 2. (подлога за клин), 
Düne ,дина, 
Dünengras ,трева на песочен рид,
Dünensand ,песок на дина, 
Düngemittel ,ѓубриво,
Dünger ,1. ѓубре <br/><br/> 2. ѓубриво <br/> &emsp; <i>Kunstdünger ≈ вештачко ѓубриво</i>,
Düngung ,ѓубрење,
Dünkel ,1. вообразеност <br/><br/> 2. ароганција,
Dünnbier ,(безалкохолно пиво), 
Dünndarm ,тенко црево, 
Dünung ,бранување на брег,
Dürftigkeit ,1. немаштија <br/><br/> 2. скудност,
Dürre ,суша,
Düse ,млазница,
Düsenantrieb ,млазен погон,
Düsenjäger ,млазен авион, 
Düsseldorf ,Диселдорф,
Düsterkeit ,1. намуртеност <br/><br/> 2. притеснетост,
Düsternis ,1. мрак <br/><br/> 2. темница,
E-Lok ,електрична локомотива <br/> &emsp; <i>elektrische Lokomotive ≈ електрична локомотива</i>,
E-Mail ,е-пошта, 
E-Mail-Adresse ,(адреса на е-пошта), 
E-dur ,Е- дур, 
EDV ,(електронска обработка на податоци), Elektronische Datenverarbeitung
EG ,1. Европска Заедница <br/><br/> 2. Европска Унија, EU; Europäische Gemeinschaft {f}
Ebbe ,осека <br/> &emsp; <i>Flut und Ebbe ≈ плима и осека</i>,
Ebenbild ,1. слика <br/><br/> 2. портрет <br/><br/> 3. лик,
Ebenbürtigkeit ,дораснатост,
Ebene ,1. рамница <br/><br/> 2. рамнина <br/><br/> 3. ниво <br/> &emsp; <i>Delegation auf hoher Ebene ≈ делегација на високо ниво</i>,
Ebenholz ,абонос, 
Ebenmass ,1. сразмерност <br/> &emsp; <i>das Ebenmass ihres Körpers ≈ сразмерност на нејзиното тело</i> <br/><br/> 2. симетрија,
Ebenmässigkeit ,1. сразмерност <br/><br/> 2. симетричност,
Eber ,1. вепар <br/><br/> 2. нерез (машка свиња), 
Eberesche ,оскоруша, 
Echo ,1. ехо <br/><br/> 2. одглас <br/><br/> 3. одек,
Echse ,гуштер, 
Echtheit ,1. автентичност <br/><br/> 2. оригиналност,
Eckball ,корнер, 
Eckbank ,ќошник (клупа за седење),
Ecke ,1. ќоше <br/><br/> 2. агол <br/><br/> 3. корнер,
Eckensteher ,сеирџија,
Eckern ,боја во игра со карти (скад),
Eckfahne ,корнерско знаменце, 
Eckfenster ,прозорец на ќоше,
Eckhaus ,(куќа на ќоше), 
Eckkneipe ,крчма на ќоше,
Ecklohn ,заработувачка како ориентација договорена по тарифа,
Eckpfeiler ,главен столб,
Eckplatz ,седиште во ќоше,
Eckschlag ,корнер <br/> &emsp; <i>einen Eckschlag ausführen ≈ изведе корнер</i>, 
Eckschrank ,долап на ќоше,
Eckstein ,камен темелник,
Eckstoß ,1. удар од агол <br/><br/> 2. корнер, 
Eckwert ,(ориентациона вредност),
Eckwurf ,уфрлување од агол, 
Eckzahn ,песјак, 
Eclair ,еклер (вид слатки), 
Ecstasy ,1. екстази <br/><br/> 2. дрога во таблети,
Edeldame ,благородничка,
Edelfrau ,благородничка, 
Edelfräulein ,(млада благородничка), 
Edelgas ,благороден гас, 
Edelholz ,(благородно дрво),
Edeling ,(старогермански благородник), 
Edelkastanie ,(питом костен), 
Edelkitsch ,1. кич <br/><br/> 2. шунд,
Edelknabe ,(момче - слуга во благородничка куќа), 
Edelkoralle ,благороден корал,
Edelleute ,благородници,
Edelmann ,благородник,
Edelmetall ,(благороден метал),
Edelmut ,благородност,
Edelreizker ,1. рујница <br/><br/> 2. (портокалова млечка), Edel Reizker 
Edelstahl ,(облагороден челик), 
Edelstein ,(драгоцен камен),
Edeltanne ,(благородна елка), 
Edelweiß ,еделвајс, 
Eden ,рај,
Edikt ,"1. едикт <br/><br/> 2. прокламација, уредба",
Edition ,издание,
Editor ,1. издавач <br/><br/> 2. уредник <br/><br/> 3. уводничар,
Editorial ,предговор на издавачот,
Edukt ,екстракт <br/> &emsp; <i>Sonnenblumenöl ist Edukt von Sonnenblumenkernen ≈ зејтин е екстракт од сончоглед</i>,
Efeu ,бршлен, 
Effekt ,ефект,
Effekten ,хартија од вредност,
Effektenbank ,банка која купува и продава хартии од вредност), 
Effektenbörse ,берза на која се тргува со хартии од вредност, 
Effektenmakler ,"брокер, лице кое тргува со хартии од вредност", 
Effekthascherei ,1. дигање прашина <br/><br/> 2. обид да се биде во центар на внимание,
Effektivbestand ,фактичка состојба,
Effektivität ,1. ефикасност <br/> &emsp; <i>die Effektivität der angewandten Mittel ≈ ефикасност на применетите средства</i> <br/><br/> 2. успех,
Effektivlohn ,ефективна плата,
Effektor ,нерв (кој испраќа сигнал за акција), 
Effizienz ,ефикасност,
Egalisierung ,1. порамнување <br/><br/> 2. изедначување,
Egalität ,рамноправност,
Egel ,пијавица, 
Egerling ,агарикус (вид печурка), 
Egge ,1. брана <br/><br/> 2. агол,
Ego ,его,
Egoismus ,егоизам,
Egoist ,егоист,
Egozentriker ,егоцентрик,
Ehe ,брак,
Eheanbahnung ,посредување на брак,
Eheberater ,брачен советник,
Eheberatung ,брачно советувалиште,
Ehebett ,брачен кревет,
Ehebrecher ,1. прељубник <br/><br/> 2. изневерник,
Ehebruch ,прељуба,
Ehebund ,1. брак <br/><br/> 2. брачна заедница,
Eheerlaubnis ,согласност на брак,
Ehefrau ,сопруга,
Ehefähigkeit ,(способност за брак), 
Ehefähigkeitszeugnis ,(потврда за слободна брачна состојба), 
Ehegatte ,сопруг,
Ehegemeinschaft ,1. брак <br/><br/> 2. брачна заедница,
Ehegesetz ,закон за брак,
Eheglück ,брачна среќа,
Ehekrach ,брачна караница,
Eheleben ,брачен живот,
Eheleute ,сопружници,
Ehelosigkeit ,1. безбрачност <br/><br/> 2. неженетост,
Ehemann ,сопруг,
Ehepaar ,брачна двојка,
Ehepartner ,брачен партнер,
Eherecht ,брачно право,
Ehering ,1. (венчален прстен) <br/> &emsp; <i>Der Ehering wird rechts getragen. ≈ Венчалниот прстен се носи десно.</i> <br/><br/> 2. бурма,
Ehescheidung ,развод на брак,
Eheschliessung ,(склучување брак),
Ehestreit ,брачна караница,
Ehevertrag ,брачен договор,
Ehrabschneider ,1. увредувач <br/><br/> 2. навредувач,
Ehrbarkeit ,почитливост,
Ehrbegriff ,поим за чест,
Ehre ,1. чест <br/> &emsp; <i>mit allen Ehren empfangen ≈ примен со сите почести</i> <br/><br/> 2. почест,
Ehrenamt ,1. (почесна служба) <br/><br/> 2. (неплатена функција) <br/><br/> 3. (волонтерска служба),
Ehrenbezeugung ,оддавање почест,
Ehrenbürger ,почесен граѓанин,
Ehrendoktor ,почесен доктор,
Ehrenformation ,почесна формација за пречек на странски државник,
Ehrengast ,(почесен гост),
Ehrengeleit ,почесна придружба,
Ehrenhaftigkeit ,чесност,
Ehrenkompanie ,почесна придружба,
Ehrenkonsul ,почесен конзул,
Ehrenkränkung ,навреда на честа,
Ehrenlegion ,легија на честа,
Ehrenmal ,споменик,
Ehrenmann ,1. џентлмен <br/><br/> 2. ефендија,
Ehrenmitglied ,почесен член,
Ehrenmitgliedschaft ,почесно членство,
Ehrenpflicht ,1. почесна обврска <br/><br/> 2. должност,
Ehrenplatz ,почесно место,
Ehrenpreis ,почесна награда,
Ehrenrettung ,(спасување на чест),
Ehrenrunde ,почесен круг,
Ehrensache ,работа на честа,
Ehrentrübüne ,почесна трибина,
Ehrenurkunde ,почесна диплома,
Ehrenwache ,почесна стража,
Ehrenwort ,чесен збор,
Ehrerbietung ,1. високо почитување <br/><br/> 2. голема почест,
Ehrfurcht ,стравопочит,
Ehrfurcht gebietend ,(изнудува ставопочит),
Ehrgeiz ,амбиција,
Ehrlichkeit ,1. чесност <br/><br/> 2. искреност,
Ehrlosigkeit ,нечесност,
Ehrung ,1. славење <br/><br/> 2. прославување <br/><br/> 3. одликување <br/><br/> 4. давање на почест,
Ei ,јајце,
Eibe ,1. тиса <br/><br/> 2. тисово дрво, 
Eibisch ,(бел слез), 
Eiche ,даб <br/> &emsp; <i>alte Eiche ≈ стар даб</i>, 
Eichel ,1. желад <br/><br/> 2. жир, 
Eichelhäher ,сојка, 
Eichelmast ,гоење со желад,
Eichen ,баждарење,
Eichenholz ,дабово дрво,
Eichhörnchen ,верверичка, 
Eichmaß ,стандардна мерка,
Eid ,заклетва <br/> &emsp; <i>an Eides statt erklären ≈ изјавува под заклетва</i>,
Eidbruch ,кршење на заклетва,
Eidechse ,гуштер, 
Eiderdaune ,пердув од патка,
Eiderente ,(нордиска патка), 
Eidgenose ,1. сојузник <br/><br/> 2. Швајцарец,
Eidgenosse ,Швајцарец,
Eidgenossenschaft ,1. Швајцарија <br/><br/> 2. (Швајцарски сојуз), 
Eidotter ,жолчка од јајце,
Eierbecher ,(саде за варени јајца), 
Eierkopf ,1. главуч <br/><br/> 2. мудрец, 
Eierkuchen ,палачинка, 
Eifer ,1. елан <br/><br/> 2. ревност <br/><br/> 3. прилежност,
Eifersucht ,љубомора,
Eigelb ,жолчка,
Eigen ,своина,
Eigenart ,1. својственост <br/><br/> 2. особеност,
Eigenbedarf ,1. за свој потреба <br/><br/> 2. за сопствена потреба,
Eigenbesitz ,сопствен имот,
Eigenbewegung ,движење по инерција,
Eigenbrötler ,1. самостојник <br/><br/> 2. самотник <br/><br/> 3. работи на своја рака,
Eigengewicht ,сопствена тежина,
Eigenheim ,1. сопствена <br/><br/> 2. семејна куќа,
Eigenheit ,1. специфика <br/><br/> 2. својственост,
Eigeninitiative ,сопствена иницијатива,
Eigenkapital ,(сопствен капитал), 
Eigenliebe ,егоизам,
Eigenlob ,1. самопофалба <br/> &emsp; <i>Eigenlob stinkt! ≈ Самопофалбата смрди!</i> <br/><br/> 2. самофалство,
Eigenname ,(лично име),
Eigennutz ,1. користољубие <br/><br/> 2. себичност,
Eigenschaft ,1. особина <br/><br/> 2. својство <br/><br/> 3. одлика <br/><br/> 4. карактеристика,
Eigenschaftswort ,1. придавка <br/><br/> 2. адјектив, 
Eigensinn ,1. своеглавост <br/><br/> 2. своеволие,
Eigentor ,автогол, 
Eigentum ,сопственост,
Eigentumswohnung ,сопствен стан,
Eigentümer ,1. сопственик <br/><br/> 2. газда,
Eigner ,сопственик <br/> &emsp; <i>Schiffseigner ≈ бродовласник</i>,
Eignung ,1. подобност <br/><br/> 2. способност <br/><br/> 3. адекватност,
Eignungsprüfung ,(испит за адекватност),
Eignungstest ,(тест за подобност),
Eiklar ,(белка од јајце), 
Eiland ,остров,
Eilbote ,брза пошта,
Eilbrief ,експресно писмо,
Eile ,брзина <br/> &emsp; <i>Eile mit Weile! ≈ брзај но мирно!</i>,
Eileiter ,јајцевод, 
Eiligkeit ,итност,
Eilmarsch ,брз (забрзан) марш),
Eilzug ,брз воз,
Eilzustellung ,експресно доставување,
Eimer ,1. кофа <br/><br/> 2. ведро,
Einakter ,1. едночинка <br/><br/> 2. драма,
Einarbeitung ,1. вработување <br/><br/> 2. приучување,
Einback ,1. печиво <br/><br/> 2. кифла,
Einbahnstraße ,еднонасочна улица,
Einband ,повез,
Einbau ,"вградување, монтажа",
Einbauküche ,1. монтажна кујна <br/><br/> 2. вградена кујна, 
Einbauleuchte ,"вградена, монтажна светилка",
Einbaum ,кану (изделкано од едно стебло),
Einbaumöbel ,"монтажен, вграден мебел",
Einbauschrank ,"вграден, монтажен орман",
Einbauteil ,1. дел <br/><br/> 2. парче (за вградување),
Einberufung ,1. свикување <br/> &emsp; <i>Einberufung einer Versammlung ≈ свикување на собрание</i> <br/><br/> 2. регрутација,
Einberufungsbefehl ,1. (повик за воена обврска) <br/><br/> 2. регрутација, 
Einbettzimmer ,еднокреветна соба, 
Einbildung ,1. фантазија <br/> &emsp; <i>du bildest dir die Geschichte nur ein ≈ ти си ја фантазираш оваа работа</i> <br/><br/> 2. вообразба <br/><br/> 3. суета,
Einbildungskraft ,имагинација,
Einblick ,1. поглед <br/><br/> 2. увид,
Einbrecher ,1. провалник <br/><br/> 2. крадец,
Einbruch ,провала,
Einbürgerung ,1. натурализација <br/><br/> 2. (стекнување државјанство),
Eindeutigkeit ,1. еднозначност <br/><br/> 2. евидентност,
Eindringling ,натрапник,
Eindruck ,впечаток <br/> &emsp; <i>der erste Eindruck ≈ првиот впечаток</i>,
Eindämmung ,1. насипување <br/><br/> 2. правење брана,
Einehe ,моногамија,
Einengung ,1. стеснување <br/><br/> 2. намалување на просторот,
Einer ,еден,
Eineurostück ,едно евро,
Einfachlichheit ,едноставност,
Einfahrt ,1. влез за возила <br/><br/> 2. капија,
Einfall ,1. идеја <br/> &emsp; <i>ein rettende Einfall ≈ една спасувачка идеја</i> <br/><br/> 2. досетка <br/><br/> 3. инвазија <br/> &emsp; <i>der Einfall fremder Stämme ≈ инвазија на туѓи племиња</i> <br/><br/> 4. упад,
Einfalt ,1. ограниченост <br/><br/> 2. наивност,
Einfamilienhaus ,(едносемејна куќа), 
Einfluss ,влијание,
Einflussbereich ,(подрачје на влијание),
Einflussnahme ,влијаење,
Einfuhr ,1. увоз <br/><br/> 2. импорт,
Einfuhrverbot ,(забрана за увоз),
Einfuhrzoll ,(царина за увоз),
Einförmigkeit ,1. монотонија <br/><br/> 2. еднообразност <br/><br/> 3. од една форма,
